"StockCode","Description","TotalUnits"
"90152C","BLUE/NAT SHELL NECKLACE W PENDANT",1
"85017C","adjustment",1
"21681","GIANT MEDINA STAMPED METAL BOWL",2
"47016","LIGHT DECORATION BATTERY OPERATED",2
"21667","GLASS CAKE COVER AND PLATE",2
"23342","MINT DINER CLOCK",2
"21658","",2
"21595","Dad's Cab Electronic Meter",2
"47570b","TEA TIME TABLE CLOTH",2
"21594","Dr. Jam's Arouzer Stress Ball",2
"84509g","SET OF 4 FAIRY CAKE PLACEMATS",2
"47591B","",2
"47593A","",2
"16248B","",2
"90189A","SILVER 2 STRAND NECKLACE-LEAF CHARM",2
"85126","LARGE ROUND CUTGLASS CANDLESTICK",2
"48189","adjustment",2
"22777","GLASS BELL JAR LARGE",2
"62095B","",2
"62096B","PURPLE/TURQ FLOWERS HANDBAG",2
"84802A","WHITE ANEMONE ARTIFICIAL FLOWER",2
"84802A","",2
"35598C","WHITE CHRISTMAS TREE 60CM",2
"85136B","BLUE SHARK HELICOPTER",2
"90078","PINK/WHITE GLASS DEMI CHOKER",2
"90126C","AMBER BERTIE MOBILE PHONE CHARM",2
"22783","",2
"84531A","returned",2
"90026A","GLASS BEAD HOOP NECKLACE BLACK",2
"23652","SET 10 CARD CHRISTMAS STAMPS 16963",2
"84531B","returned",2
"21268","VINTAGE BLUE TINSEL REEL",2
"84534b","FAIRY CAKE NOTEBOOK A5 SIZE",2
"23649","SET 10 CARDS DECK THE HALLS 16960",2
"16207A","check",2
"21186","WHITE DOVE HONEYCOMB PAPER GARLAND",2
"21186","",2
"90152B","BLUE/GREEN SHELL NECKLACE W PENDANT",2
"90024E","NEW BAROQUE B'FLY NECKLACE MONTANA",2
"90069","RUBY GLASS CLUSTER NECKLACE",2
"72814","",2
"23638","SET 10 CARDS ROBIN WATERPUMP  17096",2
"85036a","GARDENIA 1 WICK MORRIS BOXED CANDLE",2
"75013B","",2
"23104","IVORY PANTRY HANGING LAMP",2
"20964","POLYESTER FILLER PAD 60x40cm",2
"90067B","BROWN VINTAGE VICTORIAN EARRINGS",2
"84795C","OCEAN STRIPE HAMMOCK",2
"20964","",2
"20954","*USB Office Mirror Ball",2
"90024D","NEW BAROQUE B'FLY NECKLACE PINK",2
"23630","SET 10 CARDS HANGING BAUBLES 17080",2
"79161A","",2
"79161A","ST GEORGE SET OF 10 PARTY LIGHTS",2
"90127A","PINK BEADS+HAND PHONE CHARM",2
"90065B","BLACK VINT ART DEC CRYSTAL BRACELET",2
"23617","SET 10 CARDS SWIRLY XMAS TREE 17104",2
"90128B","BLUE LEAVES AND BEADS PHONE CHARM",2
"22848","check",2
"20878","",2
"84760S","",2
"20871","OPULENT VELVET SET/3 CANDLES",2
"90128C","GREEN LEAVES AND BEADS PHONE CHARM",2
"20861","GOLD COSMETIC BAG PINK STAR",2
"90011C","GREEN CRYSTAL DROP EARRINGS",2
"S","SAMPLES",2
"23091","check",2
"85184c","SET 4 VALENTINE DECOUPAGE HEART BOX",2
"82583","",2
"90128D","PURPLE LEAVES AND BEADS PHONE CHAR",2
"82605","",2
"AMAZONFEE","AMAZON FEE",2
"23079","TOADSTOOL BEDSIDE LIGHT",2
"84660b","BLACK STITCHED WALL CLOCK",2
"23462","ROCOCO WALL MIROR",2
"84731","3 BIRDS CANVAS SCREEN",2
"84990","60 GOLD AND SILVER FAIRY CAKE CASES",2
"84968B","SET OF 16 VINTAGE IVORY CUTLERY",2
"85035a","GARDENIA 3 WICK MORRIS BOXED CANDLE",2
"90140","PINK SWEETIE NECKLACE",2
"84691","",2
"84971L","",2
"84971l","LARGE HEART FLOWERS HOOK",2
"21895","POTTING SHED SOW 'N' GROW SET",2
"84620","BLUE GINGHAM ROSE CUSHION COVER",2
"90035C","PEARL & SHELL 42""NECKL. IVORY",2
"90112","",2
"90014B","GOLD M.O.P. ORBIT NECKLACE",2
"23084","add stock to allocate online orders",2
"90112","PINK DOLLY HAIR CLIPS",2
"21826","",2
"90025A","BAROQUE BUTTERFLY EARRINGS BLACK",2
"90014C","SILVER AND BLACK ORBIT NECKLACE",2
"90052","CRACKED GLAZE NECKLACE BROWN",2
"37489A","",2
"37327","",2
"90034","WHITE SILVER NECKLACE SHELL GLASS",2
"37509","NEW ENGLAND MUG W GIFT BOX",2
"84856L","LARGE TAHITI BEACH BAG",2
"22218","",2
"84873A","FUNKY FLOWER PICNIC BAG FOR 4",2
"35833G","4 GOLD FLOCK CHRISTMAS BALLS",2
"44265","M/COLOUR POM-POM CURTAIN",2
"84614A","PINK BAROQUE FLOCK CANDLE HOLDER",2
"84824","DANISH ROSE UMBRELLA STAND",2
"85049d","BRIGHT BLUES RIBBONS",2
"85049b","LUSH GREENS RIBBONS",2
"21686","",2
"84675","",2
"90042A","FRESHWATER PEARL BRACELET GOLD",3
"72815","3 WICK CHRISTMAS BRIAR CANDLE",3
"85224","ASSORTED COLOUR SILK GLASSES CASE",3
"85018C","",3
"84562A","PINK/WHITE RIBBED MELAMINE JUG",3
"23056","CRYSTAL CHANDELIER T-LIGHT HOLDER",3
"23610","SET 10 CARDS CHRISTMAS ROBIN 17095",3
"84977","",3
"85047","WHITE BEADED GARLAND STRING 20LIGHT",3
"85034a","3 GARDENIA MORRIS BOXED CANDLES",3
"90176A","CLASSIC DIAMANTE NECKLACE JET",3
"21661","VINTAGE GLASS TEA CADDY",3
"21319","adjustment",3
"21661","",3
"23633","SET 10 CARDS WORLD CHILDREN 17067",3
"90016C","SILVER/BLACK PENDANT ORBIT NECKLACE",3
"22764","",3
"90048","GREEN WITH METAL BAG CHARM",3
"84596g","SMALL CHOCOLATES PINK BOWL",3
"85231b","CINAMMON SET OF 9 T-LIGHTS",3
"17136A","check",3
"90027B","GLASS BEAD HOOP EARRINGS MONTANA",3
"90082B","",3
"90046","WHITE WITH METAL BAG CHARM",3
"90025D","BAROQUE BUTTERFLY EARRINGS PINK",3
"82600","check",3
"90077","BLACK DIAMOND CLUSTER EARRINGS",3
"21082","found",3
"90137","PINK COMBO MINI CRYSTALS NECKLACE",3
"84689","S/2 BEACH HUT TREASURE CHESTS",3
"90026D","GLASS BEAD HOOP NECKLACE AMETHYST",3
"85135B","check",3
"84963B","BLUE PAINTED KASHMIRI CHAIR",3
"90060D","FIRE POLISHED GLASS NECKL BRONZE",3
"84773","RED ROSE AND LACE C/COVER",3
"21904","",3
"37509","",3
"85115B","S/4 BLACK DISCO PARTITION PANEL",3
"84773","",3
"37464","ROBOT MUG IN DISPLAY BOX",3
"47503J","SET/3 FLORAL GARDEN TOOLS IN BAG",3
"gift_0001_40","Dotcomgiftshop Gift Voucher £40.00",3
"15060b","FAIRY CAKE DESIGN UMBRELLA",3
"85132c","CHARLIE AND LOLA FIGURES TINS",3
"DCGS0076","SUNJAR LED NIGHT NIGHT LIGHT",3
"90026B","GLASS BEAD HOOP NECKLACE MONTANA",3
"90011D","PURPLE CRYSTAL DROP EARRINGS",3
"90014C","SILVER/BLACK ORBIT NECKLACE",3
"90130D","RED STONE/CRYSTAL EARRINGS",3
"21393","",3
"90128A","PINK LEAVES AND BEADS PHONE CHARM",3
"90005A","",3
"84795C","",3
"90104","",3
"23635","SET 10 CARDS CHRISTMAS HOLLY  17259",3
"84803A","PINK ALLIUM  ARTIFICIAL FLOWER",3
"35598C","found",3
"90132","LIGHT TOPAZ TEAL/AQUA COL NECKLACE",3
"85125","",3
"20906","VINTAGE NOTEBOOK BEAUTY GIRL",3
"21445","",3
"90176C","DIAMANTE NECKLACE",3
"79192A","RETRO PLASTIC 70'S TRAY",3
"90136","PALE PINK/AMETHYST STONE NECKLACE",3
"85031C","CURIOUS IMAGES SCRAP BOOK SET",3
"90179B","PURPLE FINE BEAD NECKLACE W TASSEL",3
"84847","",3
"84968d","SET OF 16 VINTAGE RED CUTLERY",3
"90011E","AMBER CRYSTAL DROP EARRINGS",3
"84617","NEW BAROQUE BLACK BOXES",3
"45013","FOLDING SHOE TIDY",3
"37327","adjustment",3
"20678","LARGE BLACK DIAMANTE HAIRSLIDE",4
"84660a","WHITE STITCHED WALL CLOCK",4
"90176E","DIAMANTE NECKLACE GREEN",4
"47013C","",4
"23412","",4
"84507C","adjustment",4
"90156","RESIN BRACELET W PASTEL BEADS",4
"22689","",4
"37444B","BLUE BREAKFAST CUP AND SAUCER",4
"35645","VINTAGE BEAD PINK JEWEL BOX",4
"90176B","DIAMANTE NECKLACE BLACK",4
"90036B","FLOWER GLASS GARLAND NECKL.36""GREEN",4
"47574B","ENGLISH ROSE SCENTED HANGING HEART",4
"85049B","",4
"21539","check",4
"23702","High Resolution Image",4
"90056","CHUNKY CRACKED GLAZE NECKLACE IVORY",4
"37444C","",4
"72807b","SET/3 OCEAN SCENT CANDLE JEWEL BOX",4
"79157B","UBO-LIGHT TRIOBASE BLUE",4
"84856S","SMALL TAHITI BEACH BAG",4
"90026C","GLASS BEAD HOOP NECKLACE GREEN",4
"23624","SET 10 CARD PERFECT NATIVITY 17089",4
"90141D","ROSE PENDANT TRIPLE SHELL NECKLACE",4
"35592T","",4
"23619","SET 10 CARDS POINSETTIA 17093",4
"22548","adjustment",4
"79323P","PINK CHERRY LIGHTS",4
"37461","",4
"20892","SET/3 TALL GLASS CANDLE HOLDER PINK",4
"23639","SET 10 CARDS MAGICAL TREE 17086",4
"90043","COPPER AND BRASS BAG CHARM",4
"PADS","PADS TO MATCH ALL CUSHIONS",4
"90074","BLACK DIAMOND CLUSTER NECKLACE",4
"23253","16 PC CUTLERY SET PANTRY DESIGN",4
"23608","SET 10 CARDS RUDOLPHS NOSE 17097",4
"90075","MONTANA DIAMOND CLUSTER NECKLACE",4
"23605","SET 10 CARDS 12 DAYS OF XMAS 17059",4
"21804","dotcom",4
"23604","SET 10 MINI SANTA & SNOWMAN  17087",4
"72817","dotcomstock",4
"23084","allocate stock for dotcom orders ta",4
"23579","Sale error",4
"23579","",4
"37491B","BLUE/YELLOW CERAMIC CANDLE HOLDER",4
"22778","GLASS BELL JAR SMALL",4
"37491D","PURPLE/BLUE CERAMIC CANDLE HOLDER",4
"84963A","PINK PAINTED KASHMIRI CHAIR",4
"gift_0001_50","Dotcomgiftshop Gift Voucher £50.00",4
"90025F","BAROQUE BUTTERFLY EARRINGS CRYSTAL",4
"DCGS0003","BOXED GLASS ASHTRAY",4
"17191A","ROSE FLOWER CANDLE+INCENSE 16X16CM",4
"23650","SET 10 CARDS FILIGREE BAUBLE 16961",4
"90195B","BLACK GEMSTONE BRACELET",4
"77079","",4
"84802B","PURPLE ANEMONE ARTIFICIAL FLOWER",4
"90053","CRACKED GLAZE EARRINGS IVORY",4
"90024C","NEW BAROQUE B'FLY NECKLACE GREEN",4
"23615","SET 10 CARDS PRINTED GRAPHIC 17219",4
"21228","POCKET MIRROR ""GLAMOROUS""",5
"90029","NEW BAROQUE SMALL NECKLACE BLACK",5
"84536b","FAIRY CAKES NOTEBOOK A7 SIZE",5
"84873A","",5
"23644","SET 10 CARDS CHRISTMAS TREE 16955",5
"21144","PINK POODLE HANGING DECORATION",5
"72807c","SET/3 VANILLA SCENTED CANDLE IN BOX",5
"84558a","3D DOG PICTURE PLAYING CARDS",5
"90035A","PEARL & SHELL 42""NECKL. GREEN",5
"90001B","ANTIQUE MID BLUE FLOWER EARRINGS",5
"90042C","FRESHWATER PEARL BRACELET IVORY",5
"23634","SET 10 CARDS XMAS CHOIR 17068",5
"90027C","GLASS BEAD HOOP EARRINGS GREEN",5
"22829","",5
"84875D","found",5
"21836","GINGHAM OVEN GLOVE RED HEART",5
"79157V","UBO-LIGHT TRIOBASE PURPLE",5
"21808","",5
"46776a","WOVEN BUBBLE GUM CUSHION COVER",5
"23612","SET 10 MINICARDS CUTE SNOWMAN 17071",5
"21736","",5
"81950V","FLOWER PURPLE CLOCK W/SUCKER",5
"23348","check",5
"90141E","ORANGE PENDANT TRIPLE SHELL NECKLAC",5
"23595","adjustment",5
"20820","SILVER LOOKING MIRROR",5
"20798","",5
"84997a","GREEN 3 PIECE POLKADOT CUTLERY SET",5
"90001C","ANTIQUE OPAL WHITE FLOWER EARRINGS",5
"90180B","PURPLE AMETHYST NECKLACE W TASSEL",5
"84201C","HAPPY BIRTHDAY CARD TEDDY/CAKE",5
"84206B","CAT WITH SUNGLASSES BLANK CARD",5
"22947","",5
"90131","PINK/AMETHYST/GOLD NECKLACE",5
"90041","PEARL AND CHERRY QUARTZ BRACLET",5
"90037C","TINY CRYSTAL BRACELET BLUE",5
"20695","FLORAL BLUE MONSTER",5
"85232B","",5
"84968a","SET OF 16 VINTAGE ROSE CUTLERY",5
"84975","HEART SHAPED MIRROR",5
"47518f","ICON PLACEMAT POP ART ELVIS",5
"84509b","SET OF 4 FAIRY CAKE PLACEMATS",5
"21538","DAIRY MAID  PUDDING BOWL",5
"90049","IVORY GOLD METAL BAG CHARM",5
"90152A","SILVER/NAT SHELL NECKLACE W PENDANT",5
"18097A","PINK TALL PORCELAIN T-LIGHT HOLDER",5
"90055","CRACKED GLAZE EARRINGS BROWN",5
"21416","CLAM SHELL LARGE",5
"10123C","HEARTS WRAPPING TAPE",5
"90196B","BLACK GEMSTONE NECKLACE 45CM",5
"90024F","NEW BAROQUE B'FLY NECKLACE CRYSTAL",5
"84854","GIRLY PINK TOOL SET",5
"84689","",5
"84593","CROCHET ROSE DES CLOTHES HANGER",5
"35591T","TURQUOISE CHRISTMAS TREE",5
"23388","WOODLAND MINI RUCKSACK",5
"23654","SET 10 CARD SNOWMAN 16965",5
"90182B","AMETHYST 3 BEAD DROP EARRINGS",5
"90001A","ANTIQUE RASPBERRY FLOWER EARRINGS",5
"84388","",6
"21069","",6
"23043","PAPER LANTERN 9 POINT HOLLY STAR 40",6
"90123D","WHITE HEART OF GLASS BRACELET",6
"90179A","AMBER FINE BEAD NECKLACE W TASSEL",6
"84679","CLASSICAL ROSE TABLE LAMP",6
"90122B","JADE CRYSTAL+GLASS BRACELET",6
"90011A","MIDNIGHT BLUE CRYSTAL DROP EARRINGS",6
"84613A","PINK NEW BAROQUE FLOCK CANDLESTICK",6
"85200","",6
"23240","SET OF 4 KNICK KNACK TINS  DOILEY",6
"90179C","BLACK FINE BEAD NECKLACE W TASSEL",6
"90130A","WHITE STONE/CRYSTAL EARRINGS",6
"84741C","",6
"85225","BLING KEY RING STAND",6
"21757","LIGHTHOUSE PRINTED METAL SIGN",6
"22932","BAKING MOULD TOFFEE CUP  CHOCOLATE",6
"84539","",6
"90060F","FIRE POLISHED GLASS NECKL GREEN",6
"17107D","FLOWER FAIRY 5 SUMMER DRAW LINERS",6
"17028J","INCENSE BAZAAR PEACH",6
"85160A","WHITE BIRD GARDEN DESIGN MUG",6
"85231g","ORANGE SCENTED SET/9 T-LIGHTS",6
"35965","found",6
"20801","",6
"37491A","YELLOW/PINK CERAMIC CANDLE HOLDER",6
"82483","",6
"90039C","FIRE POLISHED GLASS BRACELET BLACK",6
"90159","COTE D'AZURE NECKLACE",6
"22087","Amazon",6
"37444A","",6
"37330","BIG POLKADOT MUG",6
"23621","SET 10 CARDS DAVID'S MADONNA 17074",6
"90199D","5 STRAND GLASS NECKLACE AMBER",6
"37379A","PINK CHERRY BLOSSOM CUP & SAUCER",6
"20935","ROUND CACTUS CANDLE",6
"84840","SWEETHEART CARRY-ALL BASKET",6
"21827","EIGHT PIECE CREEPY CRAWLIE SET",6
"90036A","FLOWER GARLAND NECKLACE RED",6
"47593b","SCOTTIE DOGS BABY BIB",6
"84632","DECORATIVE HANGING SHELVING UNIT",6
"90027A","GLASS BEAD HOOP EARRINGS BLACK",6
"90013D","PURPLE VINTAGE EARRINGS",6
"21763","VINTAGE WOODEN BAR STOOL",6
"84709B","",6
"90162A","ANT SILVER TURQUOISE BOUDICCA RING",6
"85127","found",6
"21620","",6
"22696","",6
"23015","CORDIAL JUG",6
"62043B","",6
"90001D","ANTIQUE OLIVE GREEN FLOWER EARRINGS",7
"gift_0001_30","Dotcomgiftshop Gift Voucher £30.00",7
"16202A","PASTEL PINK PHOTO ALBUM",7
"16206B","RED PURSE WITH PINK HEART",7
"16244B","MAXWELL 2 TONE BLUE 60 PAGE PHOTO A",7
"90212C","PURPLE LAS VEGAS BRACELET ROUND",7
"21257","",7
"21258","",7
"90181A","AMBER GLASS/SHELL/PEARL NECKLACE",7
"90176D","DIAMANTE NECKLACE PURPLE",7
"22729","",7
"90163B","WHITE ROSEBUD & PEARL NECKLACE",7
"23236","STORAGE TIN VINTAGE DOILEY",7
"23627","SET 10 CARDS XMAS GRAPHIC  17218",7
"90120A","PINK MURANO TWIST BRACELET",7
"46776f","WOVEN ROSE GARDEN CUSHION COVER",7
"72798C","SET/4 GARDEN ROSE DINNER CANDLE",7
"72802a","ROSE SCENT CANDLE IN JEWELLED BOX",7
"84270","",7
"84499","BLACK FLOWER CANDLE PLATE",7
"84596b","SMALL DOLLY MIX DESIGN ORANGE BOWL",7
"84660A","",7
"84906","",7
"85067","CREAM SWEETHEART WALL CABINET",7
"37491C","GREEN/BLUE CERAMIC CANDLE HOLDER",8
"72807a","SET/3 ROSE CANDLE IN JEWELLED BOX",8
"78034B","BLUE NETTING STORAGE HANGER",8
"79323B","BLACK CHERRY LIGHTS",8
"90036F","FLOWER GLASS GARLD NECKL36""TURQUOIS",8
"90196A","PURPLE GEMSTONE NECKLACE 45CM",8
"90178A","AMBER CHUNKY GLASS+BEAD NECKLACE",8
"22568","",8
"22734","FOUND",8
"85146","",8
"22837","HOT WATER BOTTLE BABUSHKA LARGE",8
"23047","PAPER LANTERN 5 POINT STUDDED STAR",8
"90182A","AMBER 3 BEAD DROP EARRINGS",8
"85027L","",8
"85132a","CHARLIE + LOLA BISCUITS TINS",8
"23086","ZINC STAR T-LIGHT HOLDER",8
"23106","ZINC PLANT POT HOLDER",8
"90151","SILVER/NATURAL SHELL NECKLACE",8
"20910","VINTAGE PHOTO ALBUM PARIS DAYS",8
"90024B","NEW BAROQUE B'FLY NECKLACE RED",8
"23252","ENAMEL JUG PANTRY",8
"23268","",8
"90050","CRACKED GLAZE NECKLACE IVORY",8
"23390","DOLLY GIRL MINI RUCKSACK",8
"90039A","FIRE POLISHED GLASS BRACELET RED",8
"84415B","BLUE FLOCK CUSHION COVER",8
"23396","BUTTERFLY CUSHION COVER",8
"21348","",8
"84968e","SET OF 16 VINTAGE BLACK CUTLERY",8
"90135","ORANGE/WHT/FUSCHIA STONES NECKLACE",8
"84706D","CHERRY BLOSSOM TABLE CLOCK",8
"20816","GOLD FLOWER CUSHION COVER",8
"21927","",8
"23601","SET 10 CARDS SNOWY SNOWDROPS  17100",8
"20793","BLUE TILED TRAY",8
"23607","SET 10 CARDS HATS & STOCKINGS 17081",8
"23616","SET 10 CARDS JINGLE BELLS 17217",8
"23623","SET 10 CARD CHRISTMAS WELCOME 17112",8
"23646","SET 10 CARDS JINGLE BELLS 16957",8
"35400","",8
"35443","RASTA IN BATH W SPLIFF ASHTRAY",8
"84247L","",8
"35598A","",8
"90124A","PINK MURANO TWIST NECKLACE",8
"35809B","",8
"84206C","CHAMPAGNE TRAY BLANK CARD",8
"35809B","ENAMEL BLUE RIM TEA CONTAINER",8
"35810B","",8
"35909A","RABBIT EASTER DECORATION",8
"35909B","PINK FLOWERS RABBIT EASTER",8
"84675","FROG KING WATERING CAN",9
"85135A","",9
"85132b","CHARLIE AND LOLA TABLE TINS",9
"90054","CRACKED GLAZE EARRINGS RED",9
"90038C","GLASS AND BEADS BRACELET IVORY",9
"90063B","BLACK VINT ART DEC CRYSTAL NECKLACE",9
"gift_0001_10","Dotcomgiftshop Gift Voucher £10.00",9
"90065A","WHITE VINTAGE CRYSTAL BRACELET",9
"90036C","FLOWER GLASS GARLAND NECKL.36""BLUE",9
"90076","MONTANA DIAMOND CLUSTER EARRINGS",9
"62097B","BLUE STRIPES SHOULDER BAG",9
"17174","ASSTD RASTA KEY-CHAINS",9
"20664","",9
"44091A","BLUE CRUSOE CHECK LAMPSHADE",9
"37479B","",9
"35968","check",9
"90123B","TURQUOISE HEART OF GLASS BRACELET",9
"90027D","GLASS BEAD HOOP EARRINGS AMETHYST",9
"35809a","ENAMEL PINK TEA CONTAINER",9
"85189","HANGING BUTTERFLY  EGG",9
"35598A","DUSTY PINK CHRISTMAS TREE 60CM",9
"23645","SET 10 CHRISTMAS CARDS HOHOHO 16956",9
"23640","SET 10 CARDS SCOTTIE DOG 17211",9
"23636","SET 10 CARDS WISHING TREE 17116",9
"23625","SET 6 CARDS SPARKLY REINDEER 17262",9
"84922","PINK BUTTERFLY WASHBAG",9
"90141B","IVORY PENDANT TRIPLE SHELL NECKLACE",9
"20821","",9
"20851","ZINC HEART LATTICE TRAY OVAL",9
"90211B","JET BLACK LAS VEGAS NECKLACE 45CM",9
"90148","LONG SILVER NECKLACE PASTEL FLOWER",9
"90155","RESIN NECKLACE W PASTEL BEADS",9
"85028L","",9
"90175C","BLUE GLASS CHUNKY CHARM BRACELET",9
"85145","",9
"22606","check",9
"90002D","",9
"90199B","5 STRAND GLASS NECKLACE AMETHYST",9
"90183C","BLACK DROP EARRINGS W LONG BEADS",9
"35400","WOODEN BOX ADVENT CALENDAR",10
"90037B","TINY CRYSTAL BRACELET GREEN",10
"35610A","PINK CHRISTMAS FLOCK DROPLET",10
"gift_0001_20","Dotcomgiftshop Gift Voucher £20.00",10
"84596e","SMALL LICORICE DES PINK BOWL",10
"90064A","WHITE VINTAGE CRYSTAL EARRINGS",10
"90188","DROP EARRINGS W FLOWER & LEAF",10
"90042C","",10
"90175B","PINK GLASS CHUNKY CHARM BRACELET",10
"22828","REGENCY MIRROR WITH SHUTTERS",10
"90167","BEADED LOVE HEART JEWELLERY SET",10
"90167","",10
"21181","",10
"90162D","ANT SILVER PURPLE BOUDICCA RING",10
"90157","RIVIERA NECKLACE",10
"23045","PAPER LANTERN 5 POINT STAR MOON 30",10
"90082D","DIAMANTE BOW BROOCH BLACK COLOUR",10
"23065","LARGE JEWELLERY STAND",10
"85028L","FRENCH CHATEAU LARGE FRUIT BOWL",10
"46000U","check",10
"20671","BLUE TEATIME PRINT BOWL",10
"21794","adjustment",10
"23118","dotcom adjust",10
"84465","15 PINK FLUFFY CHICKS IN BOX",10
"90051","CRACKED GLAZE NECKLACE RED",10
"90142D","MOP PENDANT SHELL NECKLACE",10
"90141C","TURQ PENDANT TRIPLE SHELL NECKLACE",10
"90079","VINTAGE ENAMEL & CRYSTAL NECKLACE",10
"84595E","",10
"84459B","",10
"90212B","JET BLACK LAS VEGAS BRACELET ROUND",10
"21823","amazon adjust",10
"90138","WHITE/PINK MINI CRYSTALS NECKLACE",10
"84306","S/3 PINK SQUARE PLANTERS ROSES",10
"90102","WHITE FRANGIPANI HAIR CLIP",10
"84924F","PSYCHEDELIC METAL SIGN CALENDAR",10
"37351","ORANGE FLOWER MUG",10
"21761","WOOD AND GLASS MEDICINE CABINET",10
"90120D","WHITE MURANO TWIST BRACELET",10
"23620","SET 10 CARDS PERFECT POST 17090",10
"gift_0001_20","to push order througha s stock was",10
"22034","ROBIN CHRISTMAS CARD",10
"90033","IVORY SHELL HEART EARRINGS",10
"71215","METAL BASE FOR CANDLES",11
"20702","",11
"90000B","MIDNIGHT BLUE COPPER FLOWER NECKLAC",11
"90012A","MIDNIGHT BLUE DROP CRYSTAL NECKLACE",11
"85195","HANGING HEART BASKET",11
"84732D","CUTE RABBIT CEATURE SCREEN",11
"90124C","GREEN MURANO TWIST NECKLACE",11
"90125E","AMBER BERTIE GLASS BEAD BAG CHARM",11
"23637","SET 10 CARDS OUT OF ORDER 17216",11
"23613","SET 10 XMAS CARDS & BADGES 17070",11
"90010B","BLACK/WHITE GLASS/SILVER BRACELET",11
"84921","CREAM AND PINK FLOWERS PONY",11
"84387A","",11
"84387A","BIRD ON BRANCH CANVAS SCREEN",11
"90039B","FIRE POLISHED GLASS BRACELET MONTAN",11
"90199A","5 STRAND GLASS NECKLACE BLACK",11
"23020","GLASS SONGBIRD STORAGE JAR",11
"21461","BLUE EASTER EGG HUNT START POST",11
"22769","CHALKBOARD KITCHEN ORGANISER",11
"90014A","SILVER M.O.P. ORBIT NECKLACE",11
"21769","VINTAGE POST OFFICE CABINET",11
"81953B","ROUND BLUE CLOCK WITH SUCKER",11
"81952B","",11
"72821","CUPID SCENTED CANDLE IN GLASS",11
"84798B","PURPLE FOXGLOVE ARTIIFCIAL FLOWER",11
"17014A","",11
"84415A","PINK FLOCK SUEDE CUSHION COVER",12
"90036D","FLOWER GLASS GARLAND NECKL.36""BLACK",12
"79329","PINK FLOCK GLASS CANDLEHOLDER",12
"90141A","GREEN PENDANT TRIPLE SHELL NECKLACE",12
"23249","ENAMEL DINNER PLATE PANTRY",12
"23251","ENAMEL MUG PANTRY",12
"21829","adjustment",12
"40005B","BLUE ORGANDY ROUND LAMPSHADE W BEA",12
"20748","",12
"90064B","BLACK VINTAGE  CRYSTAL EARRINGS",12
"85109","PINK BOUDOIR T-LIGHT HOLDER",12
"21777","RECIPE BOX WITH METAL HEART",12
"90124B","BLUE MURANO TWIST NECKLACE",12
"35817P","PINK ACRYLIC JEWEL SNOWFLAKE",12
"90018C","SILVER BLACK ORBIT DROP EARRINGS",12
"21937","",12
"35958","",12
"35958","FOLKART ZINC STAR CHRISTMAS DEC",12
"21331","MOROCCAN BEATEN METAL DISH LARGE",12
"90187B","GREEN DROP EARRINGS W BEAD CLUSTER",12
"22937","BAKING MOULD CHOCOLATE CUP CAKES",12
"22937","BAKING MOULD CUPCAKE CHOCOLATE",12
"90186A","AMETHYST HOOP EARRING FLORAL LEAF",12
"BANK CHARGES","Bank Charges",12
"47590b","PINK HAPPY BIRTHDAY BUNTING",12
"90206A","GOLD DIAMANTE STAR BROOCH",12
"90163A","PINK ROSEBUD & PEARL NECKLACE",12
"90011B","BLACK CRYSTAL DROP EARRINGS",12
"23029","DOORKNOB CRACKED GLAZE GREEN",12
"23031","DOORKNOB CRACKED GLAZE PINK",12
"23537","I LOVE LONDON WALL ART",12
"90214U","LETTER ""U"" BLING KEY RING",12
"90063A","WHITE VINT ART DECO CRYSTAL NECKLAC",12
"84881","BLUE WIRE SPIRAL CANDLE HOLDER",12
"23040","PAPER LANTERN 9 POINT SNOW STAR",12
"46115B","GREEN POP ART MAO CUSHION COVER",12
"23466","TUSCAN VILLA DOVECOTE",12
"23465","TUSCAN VILLA FEEDING STATION",12
"44242A","LILAC FEATHERS CURTAIN",12
"85024C","PINK SMALL JEWELLED PHOTOFRAME",12
"84906","PINK B'FLY C/COVER W BOBBLES",12
"85018D","YULETIDE IMAGES S/6 PAPER BOXES",12
"84462","3 PINK HEN+CHICKS IN BASKET",12
"23449","SET OF 6 EASTER RAINBOW CHICKS",12
"90211A","DIAMOND LAS VEGAS NECKLACE 45CM",12
"23212","PAINTED HEART WREATH WITH BELL",12
"23413","DECROTIVEVINTAGE COFFEE GRINDER BOX",12
"23214","BELL HEART ANTIQUE GOLD",12
"84705C","PINK FLOCK PHOTO FRAME",12
"23244","CANNISTER VINTAGE LEAF DESIGN",12
"22125","UNION JACK HOT WATER BOTTLE",13
"90002D","FLOWER BURST SILVER RING CRYSTAL",13
"79030D","",13
"21992","check",13
"90038B","GLASS AND PAINTED BEADS BRACELET OL",13
"23502","PLAYING CARDS VINTAGE DOILEY",13
"90012B","BLACK DROP CRYSTAL NECKLACE",13
"23463","VINTAGE ZINC WATERING CAN",13
"23389","SPACEBOY MINI RUCKSACK",13
"84984D","ORIENTAL RED CUSHION COVER",13
"90000A","RASPBERRY ANT COPPER FLOWER NECKLAC",13
"84551","CROCHET DOG KEYRING",13
"85008","SET OF 3 CONEY ISLAND OVAL BOXES",13
"90023","FILIGREE DIAMANTE EARRINGS",13
"85017C","Found",13
"84497","BUTTONS AND STRIPES NOTEBOOK",13
